Rte,Street Name,Address,Address,Day of,AM/PM,Side,From,To,Opt-
53,Modoc,900,998,3rd Thurs,PM,W,Solano,Marin,
43,Modoc,901,999,3rd Wed,PM,E,Solano,Marin,
61,Neilson,1200,1298,1st Fri,PM,W,City Limit,Terminus,
22,Neilson,1201,1299,2nd Mon,PM,E,City Limit,Gilman,
61,Neilson,1201,1299,1st Fri,PM,E,Gilman,Terminus,
22,Neilson,1400,1498,2nd Mon,PM,E,Northside,Hopkins,
61,Neilson,1401,1499,1st Fri,PM,W,Northside,Hopkins,
53,Newbury,2900,2998,3rd Thurs,AM,W,Russell,Ashby,
43,Newbury,2901,2999,3rd Wed,AM,E,Russell,Ashby,
63,Nogales,0,1,3rd Fri,AM,W,The Plaza,Parkside,
63,Nogales,0,1,3rd Fri,AM,E,The Plaza,Parkside,
52,North,1500,1598,2nd Thurs,PM,W,Jaynes,Terminus,
52,North,1501,1599,2nd Thurs,PM,E,Jaynes,Terminus,1500
61,Northside,1300,1398,1st Fri,PM,W,Gilman,Terminus,
61,Northside,1301,1399,1st Fri,PM,E,Gilman,Terminus,
61,Northside,1401,1499,1st Fri,PM,E,Neilson,Hopkins,
22,Northside,1400,1498,2nd Mon,PM,W,Neilson,Hopkins,
61,North Valley,2100,2198,1st Fri,AM,W,Allston,Terminus,
61,North Valley,2101,2199,1st Fri,AM,E,Allston,Terminus,2100
53,Oak,2300,2348,3rd Thurs,PM,S,Arch,Glen,
43,Oak,2301,2549,3rd Wed,PM,N,Arch,Glen,
24,Oak Knoll,2701,2799,4th Mon,AM,E,Garber,Avalon,
44,Oak Knoll,2800,2828,4th Wed,AM,W,Garber,Avalon,
34,Oakvale,33,67,4th Tue,AM,N,Claremont,Domingo,
63,Oakvale,25,,3rd Fri,AM,S,Claremont,Domingo,
61,Ordway,1200,1300,1st Fri,PM,W,City Limit,Hopkins,
22,Ordway,1201,1599,2nd Mon,PM,E,City Limit,Hopkins,1400
51,Ordway,1300,1398,1st Thurs,PM,W,Hopkins,Rose,
41,Ordway,1331,1499,1st Wed,PM,E,Hopkins,Rose,
32,Oregon,1100,1498,2nd Tue,AM,S,San Pablo,Sacramento,
42,Oregon,1101,1499,2nd Wed,AM,N,San Pablo,Sacramento,
31,Oregon,1500,1998,1st Tue,AM,S,Sacramento,Milvia,
21,Oregon,1501,1999,1st Mon,AM,N,Sacramento,Milvia,
33,Oregon,2000,2498,3rd Tue,AM,S,Milvia,Regent,
,,,,,,,,,
,,,Residential Street Sweeping Schedule | Alphabetical by Street Name: H through Z,,,,,,5
,,Address,Address,Day of,,,,,Opt-
Rte,Street Name,From,To,Month,AM/PM,Side,From,To,out
23,Oregon,2001,2499,3rd Mon,AM,N,Milvia,Regent,
51,Otis,2900,2998,1st Thurs,AM,W,Russell,Ashby,
41,Otis,2901,2999,1st Wed,AM,E,Russell,Ashby,
31,Page,830,1000,1st Tue,PM,S,6th,San Pablo,
21,Page,831,1099,1st Mon,PM,N,6th,San Pablo,
22,Page,1100,1199,2nd Mon,PM,S,San Pablo,Cornell,
61,Page,1100,1198,1st Fri,PM,N,San Pablo,Cornell,
62,Park,2724,2998,2nd Fri,AM,W,Ward,Burnett,
52,Park,2725,2999,2nd Thurs,AM,E,Ward,Burnett,
32,Parker,1100,1498,2nd Tue,AM,S,San Pablo,Sacramento,
42,Parker,1101,1499,2nd Wed,AM,N,San Pablo,Sacramento,
21,Parker,1500,1998,1st Mon,AM,S,Sacramento,Milvia,
31,Parker,1501,1999,1st Tue,AM,N,Sacramento,Milvia,
23,Parker,2000,2198,3rd Mon,AM,S,Milvia,Fulton,
33,Parker,2001,2199,3rd Tue,AM,N,Milvia,Fulton,
64,Parker,2200,2898,4th Fri,AM,S,Fulton,Warring,
54,Parker,2201,2899,4th Thurs,AM,N,Fulton,Warring,
63,Parkside,12,90,3rd Fri,AM,S,Encina,The Plaza,
34,Parkside,13,89,4th Tue,AM,N,Encina,The Plaza,100
63,Peralta,601,699,3rd Fri,PM,W,Thousand Oaks,Portland,
24,Peralta,601,699,4th Mon,PM,E,Thousand Oaks,Portland,600-
,,,,,,,,,800
24,Peralta,701,799,4th Mon,PM,E,Vincente,San Lorenzo,700
22,Peralta,1200,1598,2nd Mon,PM,W,City Limit,Hopkins,
61,Peralta,1201,1301,1st Fri,PM,E,City Limit,Hopkins,
44,Piedmont,2300,2499,4th Wed,PM,W,Bancroft,Dwight,
34,Piedmont,2301,2499,4th Tue,PM,E,Bancroft,Dwight,
54,Piedmont,2500,2698,4th Thurs,AM,W,Dwight,Derby,
64,Piedmont,2501,2699,4th Fri,AM,E,Dwight,Derby,
24,Piedmont,2700,2898,4th Mon,AM,W,Derby,Russell,
44,Piedmont,2701,2899,4th Wed,AM,E,Derby,Russell,
63,Piedmont,2900,2998,3rd Fri,AM,W,Russell,Webster,
34,Piedmont,2901,2999,4th Tue,AM,E,Russell,Webster,2900
34,Pine,2900,2998,4th Tue,AM,W,Russell,Webster,
63,Pine,2901,2999,3rd Fri,AM,E,Russell,Webster,
22,Poe,1300,1398,2nd Mon,AM,S,Bonar,Dead End,
22,Poe,1301,1399,2nd Mon,AM,N,Bonar,Dead End,
43,Posen,1538,1598,3rd Wed,PM,S,City Limit,Monterey,1600
53,Posen,1537,1599,3rd Thurs,PM,N,City Limit,Monterey,
32,Prince,1400,1498,2nd Tue,AM,S,Acton,Sacramento,
42,Prince,1401,1499,2nd Wed,AM,N,Acton,Stanton,
31,Prince,1500,1898,1st Tue,AM,S,Sacramento,M L King,
21,Prince,1599,1821,1st Mon,AM,N,Sacramento,M L King,
33,Prince,2000,2398,3rd Tue,AM,S,Tremont,Dana,
,,,,,,,,,
,,,Residential Street Sweeping Schedule | Alphabetical by Street Name: H through Z,,,,,,6
,,Address,Address,Day of,,,,,Opt-
Rte,Street Name,From,To,Month,AM/PM,Side,From,To,out
23,Prince,2001,2499,3rd Mon,AM,N,Tremont,Dana,
34,Prince,2700,2998,4th Tue,AM,S,College,Claremont,
63,Prince,2701,2899,3rd Fri,AM,N,College,Claremont,
44,Prospect,2350,2498,4th Wed,AM,W,Bancroft,Dwight,
34,Prospect,2301,2499,4th Tue,PM,E,Bancroft,Dwight,
,No Q streets,,,,,,,,
64,Regent,2500,2698,4th Fri,AM,W,Dwight,Derby,
54,Regent,2501,2699,4th Thurs,AM,E,Derby,Dwight,
53,Regent,2800,2998,3rd Thurs,AM,W,Stuart,Ashby,
43,Regent,2801,2999,3rd Wed,AM,E/W,Stuart,N Terminus,2900
63,Roanoke,19,49,3rd Fri,AM,E,Hillcrest Rd,City Limit,
34,Roanoke,70,122,4th Tue,AM,W,Hillcrest Rd,City Limit,
63,Roble Ct,6,16,3rd Fri,AM,S,Roble,Cul De Sac,
63,Roble Ct,5,17,3rd Fri,AM,N,Roble,Cul De Sac,
63,Roble Rd,26,58,3rd Fri,AM,W,Tunnel,City Limit,
34,Roble Rd,23,59,4th Tue,AM,E,Tunnel,City Limit,
51,Roosevelt,2100,2499,1st Thurs,AM,W,Addison,Dwight,
41,Roosevelt,2101,2499,1st Wed,AM,E,Addison,Dwight,
41,Rose,1200,1498,1st Wed,PM,S,Hopkins,Sacramento,
51,Rose,1201,1499,1st Thurs,PM,N,Hopkins,Sacramento,
52,Rose,1500,1998,2nd Thurs,PM,S,Sacramento,Milvia,
62,Rose,1501,1999,2nd Fri,PM,N,Sacramento,Milvia,
53,Rose,2300,2348,3rd Thurs,PM,S,Arch,Bayview,
43,Rose,2301,2349,3rd Wed,PM,N,Arch,Bayview,2300
63,Roslyn Ct,2,16,3rd Fri,AM,W,Chabolyn Ter,Cul De Sac,
63,Roslyn Ct,2,19,3rd Fri,AM,E,Chabolyn Ter,Cul De Sac,
42,Russell,1100,1498,2nd Wed,AM,S,San Pablo,Sacramento,
32,Russell,1101,1499,2nd Tue,AM,N,San Pablo,Sacramento,
21,Russell,1500,1998,1st Mon,AM,S,Sacramento,Milvia,
31,Russell,1501,1999,1st Tue,AM,N,Sacramento,Milvia,
23,Russell,2000,2698,3rd Mon,AM,S,Adeline,College,
33,Russell,2001,2699,3rd Tue,AM,N,Adeline,College,
24,Russell,2700,2798,4th Mon,AM,S,College,Piedmont,
44,Russell,2701,2799,4th Wed,AM,N,College,Piedmont,
24,Russell,2800,2894,4th Mon,AM,S,Piedmont,Kelsey,
44,Russell,2800,2818,4th Wed,AM,N,Piedmont,Kelsey,2800
44,Russell,3001,3099,4th Wed,AM,N,Claremont,Domingo,
43,Sacramento,2100,2198,3rd Wed,AM,W,Addison,Allston,
53,Sacramento,2101,2199,3rd Thurs,AM,E,Addison,Allston,
43,Sacramento,2400,2498,3rd Wed,AM,W,Channing,Dwight,
53,Sacramento,2401,2499,3rd Thurs,AM,E,Channing,Dwight,
24,San Antonio,1800,1898,4th Mon,PM,S,San Ramon,Arlington,1800
63,San Antonio,1801,1899,3rd Fri,PM,N,San Ramon,Arlington,
24,San Lorenzo,1515,1559,4th Mon,PM,N,City Limit,Peralta,1600-
,,,,,,,,,
,,,Residential Street Sweeping Schedule | Alphabetical by Street Name: H through Z,,,,,,7
,,Address,Address,Day of,,,,,Opt-
Rte,Street Name,From,To,Month,AM/PM,Side,From,To,out
,,,,,,,,,1700
63,San Lorenzo,1542,1598,3rd Fri,PM,S,City Limit,Peralta,1800
63,San Miguel,1720,1798,3rd Fri,PM,W,Thousand Oaks,Santa Rosa,
24,San Miguel,1721,1799,4th Mon,PM,E,Thousand Oaks,Santa Rosa,
61,Santa Fe,1200,1428,1st Fri,PM,W,City Limit,Cornell,
22,Santa Fe,1199,1401,2nd Mon,PM,E,City Limit,Cornell,
63,Santa Rosa,600,699,3rd Fri,PM,W,Menlo Pl,San Lorenzo,
24,Santa Rosa,601,749,4th Mon,PM,E,Menlo Pl,San Lorenzo,500-
,,,,,,,,,600
41,Short,1600,1699,1st Wed,PM,E/W,Lincoln,Terminus,
41,Short,1800,1899,1st Wed,PM,E/W,Terminus,Hearst,
41,Spaulding,2100,2498,1st Wed,AM,W,Addison,Dwight,
51,Spaulding,2101,2499,1st Thurs,AM,E,Addison,Dwight,
61,Stannage,1200,1598,1st Fri,PM,W,City Limit,Hopkins,
22,Stannage,1201,1599,2nd Mon,PM,E,City Limit,Hopkins,
41,Stannage,1600,1698,1st Wed,PM,W,Hopkins,Virginia,
51,Stannage,1601,1699,1st Thurs,PM,E,Hopkins,Virginia,700
62,Stanton,2824,3098,2nd Fri,AM,W,Oregon,Prince,
52,Stanton,2825,3099,2nd Thurs,AM,E,Oregon,Prince,
43,Station Place,853,858,3rd Wed,PM,E/W,Catalina,Terminus,
21,Stuart,1500,1998,1st Mon,AM,S,Sacramento,Milvia,
31,Stuart,1501,1999,1st Tue,AM,N,Sacramento,Milvia,
23,Stuart,2000,2598,3rd Mon,AM,S,Milvia,Hillegass,
33,Stuart,2001,2599,3rd Tue,AM,N,Milvia,Hillegass,
63,Stuart,2600,2898,3rd Fri,AM,S,Hillegass,Kelsey,
34,Stuart,2601,2799,4th Tue,AM,N,Hillegass,Kelsey,
53,Sutter,1000,1198,3rd Thurs,PM,W,Del Norte,Eunice,
43,Sutter,1101,1199,3rd Wed,PM,E,Del Norte,Eunice,1100
61,Talbot,1200,1428,1st Fri,PM,W,City Limit,Santa Fe,
22,Talbot,1201,1399,2nd Mon,PM,E,City Limit,Santa Fe,
24,Tanglewood,10,28,4th Mon,AM,W,Belrose,Claremont Ave,
44,Tanglewood,2940,2998,4th Wed,AM,E,Belrose,Claremont Ave,
61,Tevlin,1200,1398,1st Fri,PM,W,Terminus,Watkins,
61,Tevlin,1201,1379,1st Fri,PM,E,Terminus,Watkins,
34,The Plaza,12,88,4th Tue,AM,S,Encina Pl,The Plaza,
34,The Plaza,13,89,4th Tue,AM,N,Parkside,The Plaza,
63,The Plaza,0,41,3rd Fri,AM,N,Encina Pl,Nogales,
63,The Plaza,41,131,3rd Fri,AM,E,Nogales,The Plaza,
63,The Plaza,128,155,3rd Fri,AM,S,The Plaza,Parkside,
34,The Uplands,26,225,4th Tue,AM,E,Claremont,Tunnel,
63,The Uplands,26,224,3rd Fri,AM,W,Claremont,Tunnel,
63,Thousand Oaks,1532,2098,3rd Fri,PM,S,City Limit,San Fernando,1500-
,,,,,,,,,1600
63,Thousand Oaks,2000,2098,3rd Fri,PM,S,San Fernando,Arlington,
,,,,,,,,,
,,,Residential Street Sweeping Schedule | Alphabetical by Street Name: H through Z,,,,,,8
,,Address,Address,Day of,,,,,Opt-
Rte,Street Name,From,To,Month,AM/PM,Side,From,To,out
24,Thousand Oaks,1531,2199,4th Mon,PM,N,City Limit,Arlington,1800
41,Tremont,3000,3199,1st Wed,AM,W,Emerson,City Limit,
51,Tremont,3001,3199,1st Thurs,AM,E,Emerson,City Limit,
21,Tyler,1500,1698,1st Mon,AM,S,Sacramento,King,1600
31,Tyler,1501,1699,1st Tue,AM,N,Sacramento,King,
24,Vallejo,1800,1898,4th Mon,PM,S,The Alameda,San Ramon,
63,Vallejo,1901,1999,3rd Fri,PM,N,The Alameda,San Ramon,
22,Valley,2300,2398,2nd Mon,AM,W,Dead End,Channing,1300
22,Valley,2301,2399,2nd Mon,AM,E,Dead End,Channing,
22,Valley,2400,2498,2nd Mon,AM,W,Channing,Dwight,
61,Valley,2401,2499,1st Fri,AM,E,Channing,Dwight,
34,Vicente,1,95,4th Tue,AM,E,Tunnel,City Limit,
63,Vicente,2,94,3rd Fri,AM,W,Tunnel,City Limit,
34,Vicente,150,181,4th Tue,AM,E,City Limit,Alvarado,
24,Vincente,801,899,4th Mon,PM,N,Ensenada,Peralta,600
62,Vine,1600,1998,2nd Fri,PM,S,McGee,Milvia,1700
52,Vine,1601,1999,2nd Thurs,PM,N,McGee,Milvia,1700
63,Vine,2300,2390,3rd Fri,PM,S,Arch,Hawthorne,
24,Vine,2301,2449,4th Mon,PM,N,Arch,Hawthorne,
21,Virginia,830,1098,1st Mon,PM,S,6th,San Pablo,
31,Virginia,831,1099,1st Tue,PM,N,6th,San Pablo,
41,Virginia,1100,1498,1st Wed,PM,S,San Pablo,Sacramento,
51,Virginia,1101,1499,1st Thurs,PM,N,San Pablo,Sacramento,
,,,,,,,,,1600+
32,Virginia,1500,1698,2nd Tue,PM,S,Sacramento,Milvia,1800
42,Virginia,1501,1999,2nd Wed,PM,N,Sacramento,Milvia,
33,Virginia,2000,2098,3rd Tue,PM,S,Milvia,Shattuck,
23,Virginia,2001,2099,3rd Mon,PM,N,Milvia,Shattuck,
41,Virginia Gardens,1600,1698,1st Wed,PM,W,Virginia,Terminus,
41,Virginia Gardens,1601,1699,1st Wed,PM,E,Virginia,Terminus,
43,Walker,2700,2722,3rd Wed,AM,W,Derby,Ward,
43,Walker,2701,2723,3rd Wed,AM,E,Derby,Ward,
62,Wallace,2724,2898,2nd Fri,AM,W,Ward,Russell,
52,Wallace,2725,2899,2nd Thurs,AM,E,Ward,Russell,
33,Walnut,1800,1898,3rd Tue,PM,W,Delaware,Hearst,
23,Walnut,1800,1899,3rd Mon,PM,E,Delaware,Hearst,
42,Ward,1100,1498,2nd Wed,AM,S,San Pablo,Sacramento,2700
32,Ward,1101,1499,2nd Tue,AM,N,San Pablo,Sacramento,
31,Ward,1500,1998,1st Tue,AM,S,Sacramento,Milvia,
21,Ward,1501,1999,1st Mon,AM,N,Sacramento,Milvia,
33,Ward,2000,2424,3rd Tue,AM,S,Milvia,Telegraph,
23,Ward,2001,2425,3rd Mon,AM,N,Milvia,Telegraph,
34,Warring,2300,2498,4th Tue,PM,W,Bancroft,Dwight,
44,Warring,2351,2499,4th Wed,PM,E,Durant,Dwight,
,,,,,,,,,
,,,Residential Street Sweeping Schedule | Alphabetical by Street Name: H through Z,,,,,,9
,,Address,Address,Day of,,,,,Opt-
Rte,Street Name,From,To,Month,AM/PM,Side,From,To,out
64,Warring,2500,2698,4th Fri,AM,W,Dwight,Derby,
54,Warring,2501,2699,4th Thurs,AM,E,Dwight,Derby,
22,Watkins,1300,1398,2nd Mon,PM,N,Neilson,Tevlin,
61,Watkins,1300,1398,1st Fri,PM,S,Neilson,Tevlin,
33,Webster,2250,2398,3rd Tue,AM,S,Deakin,Telegraph,
23,Webster,2251,2399,3rd Mon,AM,N,Deakin,Telegraph,
63,Webster,2600,2998,3rd Fri,AM,S,Hillegass,Claremont,
34,Webster,2601,2999,4th Tue,AM,N,Hillegass,Claremont,
61,West,2300,2498,1st Fri,AM,W,Bancroft,Dwight,
22,West,2301,2499,2nd Mon,AM,E,Bancroft,Dwight,
53,Wheeler,2900,3198,3rd Thurs,AM,W,Russell,Woolsey,
43,Wheeler,3001,3123,3rd Wed,AM,E,Russell,Woolsey,
31,Woolsey,1501,1899,1st Tue,AM,N,Sacramento,M L King,
21,Woolsey,1598,1820,1st Mon,AM,S,Sacramento,M L King,
33,Woolsey,1901,2599,3rd Tue,AM,N,Adeline,Hillegass,
23,Woolsey,2000,2598,3rd Mon,AM,S,Adeline,Hillegass,
34,Woolsey,2600,2994,4th Tue,AM,S,Hillegass,Claremont,
63,Woolsey,2601,2899,3rd Fri,AM,N,Hillegass,Claremont,
52,Yolo,1900,2026,2nd Thurs,PM,S,The Alameda,Sutter,
62,Yolo,1901,1999,2nd Fri,PM,N,The Alameda,Milvia,1900
62,Yolo,1901,2027,2nd Fri,PM,N,The Alameda,Sutter,2000
63,Yosemite,2000,2098,3rd Fri,PM,S,San Fernando,Contra Costa,
24,Yosemite,2001,2099,4th Mon,PM,N,San Fernando,Contra Costa,
