Rte,Street Name,Address,Address,Day of,AM/PM,Side,From,To,Opt-
32,Eola,1701,1723,2nd Tue,PM,E,Virginia,Francisco,
23,Essex,2000,2148,3rd Mon,AM,S,Adeline,Wheeler,
33,Essex,2001,2149,3rd Tue,AM,N,Adeline,Wheeler,
64,Etna,2500,2698,4thFri,AM,W,Dwight,Derby,
54,Etna,2501,2699,4th Thurs,AM,E,Dwight,Derby,
34,Eton,3100,3198,4th Tue,AM,W,Woolsey,Claremont,
63,Eton,3101,3199,3rd Fri,AM,E,Woolsey,Claremont,
63,Eton Ct,3200,3298,3rd Fri,AM,W,Claremont,Cul De Sac,
63,Eton Ct,3201,3299,3rd Fri,AM,E,Claremont,Cul De Sac,
34,Eucalyptus,70,120,4th Tue,AM,W,Hillcrest,City Limit,
63,Eucalyptus,71,119,3rd Fri,AM,E,Hillcrest,City Limit,
52,Eunice,2000,2026,2nd Thurs,PM,S,Milvia,Terminus,
52,Eunice,2001,2027,2nd Thurs,PM,N,Milvia,Terminus,
22,Evelyn,1200,1398,2nd Mon,PM,W,City Limit,Santa Fe,
61,Evelyn,1201,1399,1st Fri,PM,E,City Limit,Santa Fe,
42,Fairview,1400,1498,2nd Wed,AM,S,Baker,Sacramento,
32,Fairview,1401,1499,2nd Tue,AM,N,Baker,Sacramento,
31,Fairview,1500,1998,1st Tue,AM,S,Sacramento,Dover,
21,Fairview,1501,1999,1st Mon,AM,N,Sacramento,Dover,
43,Florence,2900,2998,3rd Wed,AM,W,Russell,Ashby,
53,Florence,2901,2999,3rd Thurs,AM,E,Russell,Ashby,
34,Forest Ave,2700,2938,4th Tue,AM,S,College,Claremont,
,,,,,,,,,
,,,Residential Street Sweeping Schedule | Alphabetical by Street Name: A through G,,,,,,8
,,Address,Address,Day of,,,,,Opt-
Rte,Street Name,From,To,Month,AM/PM,Side,From,To,out
63,Forest Ave,2701,2999,3rd Fri,AM,N,College,Claremont,
51,Francisco,1100,1358,1st Thurs,PM,S,San Pablo,Franklin,
41,Francisco,1101,1359,1st Wed,PM,N,San Pablo,Franklin,
41,Francisco,1360,1398,1st Wed,PM,S,Franklin,Terminus,
41,Francisco,1361,1399,1st Wed,PM,N,Franklin,Terminus,
42,Francisco,1500,1998,2nd Wed,PM,S,Sacramento,Milvia,
32,Francisco,1501,1999,2nd Tue,PM,N,Sacramento,Milvia,
41,Franklin,1600,1898,1st Wed,PM,W,Cedar,Hearst,
51,Franklin,1601,1899,1st Thurs,PM,E,Cedar,Hearst,
53,Fresno,900,998,3rd Thurs,PM,W,Solano,Marin,
43,Fresno,901,999,3rd Wed,PM,E,Solano,Marin,
23,Fulton,2300,2498,3rd Mon,PM,W,Bancroft,Dwight,
33,Fulton,2350,2499,3rd Tue,PM,W,Durant,Dwight,
33,Fulton,2301,2349,3rd Tue,PM,E,Bancroft,Durant,
64,Fulton,2500,2698,4th Fri,AM,W,Dwight,Derby,
54,Fulton,2501,2699,4th Thurs,AM,E,Dwight,Derby,
43,Fulton,2700,3098,3rd Wed,AM,W,Derby,Prince,
53,Fulton,2701,3099,3rd Thurs,AM,E,Derby,Prince,
63,Garber,2700,2898,3rd Fri,AM,S,College,E Terminus,
34,Garber,2701,2799,4th Tue,AM,N,College,E Terminus,
24,Garber,2845,2935,4th Mon,AM,N,W Terminus,Oak Knoll,
44,Garber,2844,2830,4th Wed,AM,S,Terminus,Oak Knoll,
24,Garber,3000,3099,4th Mon,AM,S,Belrose,City Limit,
44,Garber,3001,3099,4th Wed,AM,N,Belrose,City Limit,
61,Gilman,1100,1498,1st Fri,PM,S,San Pablo,Hopkins,
22,Gilman,1101,1499,2nd Mon,PM,N,San Pablo,Hopkins,
52,Grant,1300,1499,2nd Thurs,PM,E/W,Terminus,Rose,
32,Grant,1301,1699,2nd Tue,PM,E/W,Lincoln,N Terminus,
62,Grant,1400,1598,2nd Fri,PM,W,Rose,Cedar,
52,Grant,1401,1599,2nd Thurs,PM,E,Rose,Cedar,
42,Grant,1600,1798,2nd Wed,PM,W,Lincoln,Delaware,
32,Grant,1601,1799,2nd Tue,PM,E,Lincoln,Delaware,
32,Grant,1800,1898,2nd Tue,PM,W,Delaware,Ohlone Park,
32,Grant,1801,1899,2nd Tue,PM,E,Delaware,Ohlone Park,
42,Grant,1900,1998,2nd Wed,PM,W,Hearst,University,
32,Grant,1901,1999,2nd Tue,PM,E,Hearst,University,
41,Grant,2000,2898,1st Wed,AM,W,University,Russell,
51,Grant,2001,2899,1st Thurs,AM,E,University,Russell,
64,Grizzly Peak,400,1530,4th Fri,PM,E,City Limit,Spruce,
54,Grizzly Peak,401,1599,4th Thurs,PM,W,City Limit,Spruce,600
