Zoning,the_geom
R-2,"MULTIPOLYGON (((-122.25046320796115 37.860119647855484, -122.25059465637189 37.860110831721514, -122.2507365417441 37.86010392725286, -122.25088698258513 37.86009276571364, -122.25091017940306 37.860341688891694, -122.25092476369164 37.860445849837724, -122.25095726568465 37.860722111602826, -122.2508275558914 37.86073089458485, -122.2507185781891 37.86073731908828, -122.25067704430984 37.860739313860414, -122.25057673199917 37.860746296300206, -122.2505213903071 37.86074986601512, -122.2504608587165 37.86075419760545, -122.25032077592755 37.86076382249721, -122.25010269506872 37.86077186758038, -122.24989341839198 37.86078595473108, -122.24974818786764 37.86079772006261, -122.24967553535369 37.86080222953049, -122.24963771603765 37.86080466535579, -122.24962288775116 37.86054512039229, -122.24959586278858 37.86054552002888, -122.24957909183625 37.8602929305584, -122.24960881305111 37.86029249132737, -122.24960084142825 37.860231080099005, -122.24967370400435 37.86022244724926, -122.24969166012514 37.8602466451035, -122.2497062849906 37.86025983858045, -122.24972742296617 37.86027294377186, -122.24974466923308 37.86028138025362, -122.2497655215049 37.86028381276857, -122.24979661611988 37.86028061211947, -122.24981896774257 37.86027340945007, -122.24983949354407 37.8602621231056, -122.24985295820511 37.86024543809517, -122.24987892398339 37.860245051930264, -122.25001729516632 37.86023613453652, -122.25005188761385 37.86023356041614, -122.25008473532846 37.86023101573144, -122.25011567960053 37.8602209394338, -122.25015509306974 37.86020250530354, -122.25016676733463 37.86018378500287, -122.25018874673114 37.86016080277155, -122.25022116833378 37.8601397202598, -122.25025218184435 37.86013239826528, -122.25028669462745 37.86012707778149, -122.25046320796115 37.860119647855484)))"
R-2,"MULTIPOLYGON (((-122.2649115266137 37.86053486991159, -122.26458680251541 37.86057474282305, -122.26456362038108 37.86047414757873, -122.26454423127113 37.8603872238491, -122.26452463414003 37.86029138007136, -122.2645048597148 37.86018867273682, -122.26448922265303 37.86011337207269, -122.2644733520673 37.8600291430904, -122.26445029136981 37.85993334660785, -122.26443641949932 37.85986008487042, -122.2646954634102 37.85982668087457, -122.26485092442316 37.859807875444055, -122.26502186238311 37.859784717185306, -122.26519102482422 37.859759527799525, -122.26536721703583 37.859738356733146, -122.26553983796167 37.85971311136271, -122.26570914856202 37.859694095111415, -122.26579545467996 37.85968112743495, -122.2659163370494 37.8596655889201, -122.26596113219726 37.85987367618783, -122.26598436724284 37.85997633185999, -122.26596730768475 37.859987573690674, -122.26595032323668 37.860001557720665, -122.26593847553235 37.86001341202126, -122.26593052846341 37.86004306323711, -122.2659293452811 37.86006642143273, -122.26594411342109 37.86010465847899, -122.26596175661274 37.860118132394284, -122.2659863223656 37.86013149534119, -122.2660038170994 37.86013879131273, -122.26602638047363 37.86014050968055, -122.26607026771364 37.860382948072626, -122.26594591012146 37.860398542133815, -122.26583367844539 37.860413948044545, -122.26571452414153 37.86042946479768, -122.26560575610303 37.86044482719787, -122.26548486216743 37.86046036531411, -122.26536728002692 37.860469000687175, -122.26525508898277 37.86048647476607, -122.26513939830285 37.860501935489125, -122.26503058404722 37.860515232656795, -122.2649115266137 37.86053486991159)))"
R-2,"MULTIPOLYGON (((-122.27238786593152 37.86045511153137, -122.27232068306506 37.86010796023171, -122.2731686389218 37.859999776683125, -122.27310198733132 37.85967528488343, -122.27344391942209 37.85963100077927, -122.27346141643798 37.85971108547486, -122.27347724070493 37.859793252649, -122.27349311132093 37.85987747640707, -122.27350750455736 37.85997202122136, -122.27353088903305 37.86008084932627, -122.27355272068542 37.86019726439601, -122.27357066183103 37.86029518930692, -122.27323733737636 37.86033728807948, -122.2730940443387 37.860357972380726, -122.27296108248974 37.86037577171897, -122.27281260123021 37.860396537203734, -122.27268826030523 37.86041213443989, -122.27265032614183 37.86041958183471, -122.27254144815439 37.860430139767075, -122.27252244090458 37.860432484215295, -122.27238786593152 37.86045511153137)))"
R-2,"MULTIPOLYGON (((-122.25286185655148 37.86061005597114, -122.2528428216008 37.86061102619777, -122.25266641736131 37.86062326246504, -122.2525054690145 37.860629776495806, -122.25236180764045 37.860634656074915, -122.25222517553162 37.86064355076417, -122.25201584360958 37.860655585042224, -122.25190859549755 37.86066198107761, -122.25180128296728 37.86066563893063, -122.25159213552801 37.86068521744305, -122.25148148444552 37.86069373292902, -122.25139325584196 37.86069916244578, -122.25116490400393 37.86071216529395, -122.25113229129127 37.86043109673729, -122.2511265887227 37.86033641802013, -122.25111046766469 37.86024052524072, -122.25109456330327 37.860080754743876, -122.25121047779083 37.86007423204857, -122.25132465273055 37.86006773062464, -122.25149250380088 37.860060426586415, -122.25170344822395 37.86004357300265, -122.25185566898526 37.86003444133239, -122.25199744741899 37.860023413954664, -122.25220163014689 37.86001351280338, -122.25238318039735 37.859999144094765, -122.25254232342363 37.8599899135352, -122.2527118679748 37.85998053381824, -122.25285882590269 37.859968731167484, -122.25290025464356 37.86032931271845, -122.25282933385827 37.860333117244465, -122.25286185655148 37.86061005597114)))"
MULI,"MULTIPOLYGON (((-122.29030795429824 37.859937424463475, -122.28989249719704 37.86009274389266, -122.28963398835499 37.85928635489307, -122.29007351347968 37.859195226985115, -122.29030795429824 37.859937424463475)))"
R-2A,"MULTIPOLYGON (((-122.25286185655148 37.86061005597114, -122.25282933385827 37.860333117244465, -122.25290025464356 37.86032931271845, -122.25285882590269 37.859968731167484, -122.25288821989801 37.85996623273283, -122.25305251018095 37.859954868337695, -122.2532099339784 37.85994565841483, -122.25322983013231 37.86012802863707, -122.25324154855129 37.86025695622722, -122.25324235838674 37.86029127762055, -122.25325973666924 37.86029376860046, -122.25327135686243 37.86041925622972, -122.25329083993562 37.860583778220146, -122.25293794867957 37.860604816033124, -122.25286185655148 37.86061005597114)))"
R-2,"MULTIPOLYGON (((-122.27379822583414 37.86028220706564, -122.27379774206203 37.86028093866594, -122.27379112886767 37.86026411894881, -122.27377954595765 37.86026527236607, -122.2737933697576 37.8602797355111, -122.2737503099641 37.86026788650091, -122.27365009723403 37.859632710871814, -122.27570005611871 37.85937252817954, -122.27582462043225 37.86006110892254, -122.27379822583414 37.86028220706564)), ((-122.27379822583414 37.86028220706564, -122.27379997278753 37.86028664274028, -122.27379596742323 37.86028245270904, -122.27379822583414 37.86028220706564)), ((-122.27379774206203 37.86028093866594, -122.27379596742323 37.86028245270904, -122.2737933697576 37.8602797355111, -122.27379774206203 37.86028093866594)))"
R-2,"MULTIPOLYGON (((-122.26655034958677 37.860320137980004, -122.26642074269482 37.8603337530517, -122.26629639548389 37.86034934754858, -122.26617550183789 37.86036488637734, -122.26612520204574 37.86014383494505, -122.266138449629 37.86011823201352, -122.26615890301814 37.86010419251638, -122.26616717087006 37.8600875827419, -122.26617479854065 37.86004421679574, -122.2661673333593 37.86002166453074, -122.26615654780335 37.86000533753195, -122.26613881238032 37.85998775047036, -122.26608620178921 37.85996107595377, -122.2660746704369 37.859913173804316, -122.26601471767871 37.859650380488475, -122.2661218524361 37.85963916068212, -122.26623058158562 37.8596224307443, -122.26640328561069 37.8596006158459, -122.26655034958677 37.860320137980004)))"
C-SA,"MULTIPOLYGON (((-122.26655034958677 37.860320137980004, -122.26640328561069 37.8596006158459, -122.26690405591607 37.85953406798041, -122.26692925401588 37.85971910127719, -122.26689604536175 37.8597793383908, -122.26684881445425 37.859905707542445, -122.26682393832266 37.86002488295339, -122.2667976060228 37.86015574627047, -122.26678696914138 37.86029118494194, -122.26655034958677 37.860320137980004)))"
R-1,"MULTIPOLYGON (((-122.24602475791141 37.86061800990308, -122.24598662883419 37.86061720603239, -122.24591719720365 37.86061136309093, -122.2458389027774 37.86059672711839, -122.24578635504392 37.860572096205864, -122.24574772159824 37.860550008171934, -122.24570373991084 37.86052112887719, -122.24566834091728 37.86048937625451, -122.24563615955437 37.8604465961991, -122.24560921701126 37.860405788379474, -122.24558545309115 37.8603532633944, -122.24558443591043 37.860310021900304, -122.24556732866928 37.86017156441624, -122.24556293251464 37.86005832630927, -122.24556127447254 37.85998762284466, -122.24557263449098 37.85995517611489, -122.24560305110002 37.859923139445876, -122.24564071254817 37.85990403856283, -122.24570111034073 37.85989422107472, -122.24580831743201 37.8598857660189, -122.24595539592687 37.85987878295755, -122.24626324260912 37.85985774540612, -122.24649322564004 37.859840609341276, -122.24667315674829 37.85983108172166, -122.24688073724886 37.859819082235674, -122.2469672812787 37.85981574217945, -122.24701429137689 37.859826028239645, -122.2470494051958 37.859846114115726, -122.24708138112389 37.859879977797306, -122.24709068471522 37.85990730047499, -122.24711431953631 37.86017476628313, -122.2471419887525 37.86046757426398, -122.24711881581894 37.86051324056952, -122.24708305435304 37.860539184064436, -122.2470452782287 37.86055347042234, -122.24700210300757 37.860558908955426, -122.2468897153326 37.86056813095318, -122.24674269125512 37.860577179933074, -122.24655237203497 37.86058685613433, -122.2463828895395 37.860598977209484, -122.24620283334244 37.86060302011492, -122.24602475791141 37.86061800990308)))"
C-1,"MULTIPOLYGON (((-122.25982653093632 37.860283930681774, -122.25925145197756 37.86035842918527, -122.25928819508057 37.86008113699145, -122.25932622474365 37.85985876863367, -122.25936166957486 37.85960073741424, -122.25971571599136 37.85955562035487, -122.25978988746446 37.85990748270319, -122.25974680522455 37.859917051267374, -122.25982653093632 37.860283930681774)))"
C-SA,"MULTIPOLYGON (((-122.26807311513706 37.86010643013896, -122.26737036448948 37.8602021044479, -122.26766411260829 37.85944440667358, -122.26812694694651 37.85938527908275, -122.26922514986413 37.85923766667329, -122.26930792042947 37.85994852881485, -122.26827176826856 37.86008285946053, -122.26821473954439 37.86008851576169, -122.26807311513706 37.86010643013896)))"
R-2,"MULTIPOLYGON (((-122.25971571599136 37.85955562035487, -122.25986941073764 37.85953548414729, -122.25998164230685 37.85952007580752, -122.26011118754924 37.859504411134836, -122.26022861735287 37.859488913549434, -122.26034945453172 37.859471324170116, -122.26045318552269 37.85946291099195, -122.260546419715 37.859449848726854, -122.26068977389966 37.859431913707546, -122.26083305305188 37.8594112403651, -122.26096607205213 37.85939551138493, -122.26109042376181 37.85937992659772, -122.26135119665814 37.85934650836093, -122.26149279213357 37.85932791645377, -122.2616188322002 37.859310236727154, -122.261795024233 37.85928907505991, -122.26184932427172 37.85953340945786, -122.26187098085028 37.85964295091898, -122.26189969431265 37.85975789434762, -122.26195246995688 37.86001049705009, -122.26181091415434 37.860031146051476, -122.26166058548537 37.86004712840539, -122.26151713332278 37.86006094327565, -122.26134099546303 37.860084173323195, -122.26117177997101 37.860107300534494, -122.26103881605013 37.860125074217855, -122.26091448684231 37.860141352629405, -122.26079185288634 37.860156915561035, -122.26066240869837 37.860176702322, -122.26012869808915 37.86024233928358, -122.25995948184422 37.86026546879974, -122.25982653093632 37.860283930681774, -122.25974680522455 37.859917051267374, -122.25978988746446 37.85990748270319, -122.25971571599136 37.85955562035487)))"
R-1,"MULTIPOLYGON (((-122.28533726174018 37.85976002332477, -122.2851871021335 37.85978289922325, -122.28511451144854 37.85942965054664, -122.28504531946196 37.85907361987006, -122.2851903210244 37.85905287864057, -122.28532501719778 37.85903505165692, -122.28546321346444 37.85901922905706, -122.28560134410118 37.85900066010373, -122.28573954544315 37.85898482909806, -122.28586557439662 37.85896712737403, -122.28601058568857 37.85894639330276, -122.28615219364666 37.85892845721712, -122.28625235038461 37.85891527458659, -122.28635603657878 37.85890476982726, -122.28669275440417 37.858860537262004, -122.28671600778489 37.858963185030824, -122.28673586455378 37.859067949637264, -122.28675716261075 37.85916170735127, -122.28677523325456 37.8592644413282, -122.28679669189134 37.85936437296909, -122.28681644019512 37.85946502023757, -122.28683975084118 37.859569724622496, -122.28649263333274 37.85961412575294, -122.28629572624826 37.8596377094007, -122.28615758076957 37.85965558958272, -122.2860142457105 37.85967423713083, -122.28588475177422 37.85969199505296, -122.28574655433121 37.859707818134055, -122.28560835171632 37.85972364102124, -122.28547026629887 37.85974427466365, -122.28533726174018 37.85976002332477)))"
R-1,"MULTIPOLYGON (((-122.24960112661813 37.860217584164396, -122.24957871079627 37.86022203654076, -122.24954922026849 37.86022041282483, -122.24952119371017 37.86020709740652, -122.24949005249456 37.86018109581832, -122.24930505860718 37.859948317297686, -122.24932685155825 37.85992911000234, -122.24934247082473 37.85990073775963, -122.24934199429272 37.85988013523655, -122.24934117603725 37.85984581376798, -122.2493265078059 37.859811691962655, -122.24930524330523 37.85979141115538, -122.24926834871583 37.859769302911, -122.24920920426509 37.85975849829203, -122.24919005447725 37.85975466916729, -122.24915460361827 37.85972085689922, -122.2491193793777 37.8596959729149, -122.24905790721972 37.85966048185187, -122.24900191053862 37.8596359114888, -122.24894101636231 37.85962514018926, -122.24886473224942 37.8596221511298, -122.24868701275167 37.85965225108591, -122.2486556616906 37.85927709496933, -122.24860780225826 37.858863720975066, -122.24878947035492 37.85885416063461, -122.24894865679266 37.85884700366573, -122.24910429351178 37.85883576397227, -122.24926171520552 37.858826571473344, -122.24944159288152 37.85881497485795, -122.24958769972841 37.860074636564, -122.24960112661813 37.860217584164396)))"
R-2,"MULTIPOLYGON (((-122.24944159288152 37.85881497485795, -122.24964569295561 37.85880233181081, -122.24997437577252 37.858783729123765, -122.24999935659383 37.85910817100849, -122.25001477479246 37.85924802046086, -122.25002668029217 37.85938518286322, -122.25003748649343 37.85947635342283, -122.25005392636616 37.85965876704119, -122.25006532955884 37.85977533891268, -122.25008318081836 37.859944689615226, -122.25009617056614 37.860127843733416, -122.2500915455801 37.86015262775393, -122.25006574556629 37.86015988151664, -122.24984960210641 37.86017682071382, -122.24983168534575 37.86016640073774, -122.2498112459938 37.86015452487222, -122.24978694908474 37.860148237672504, -122.24976611011127 37.86014752491177, -122.2497414586107 37.860150985622646, -122.24972450288455 37.86016082243844, -122.24970552166893 37.86017214294052, -122.24966877159618 37.86021093380491, -122.24960112661813 37.860217584164396, -122.24958769972841 37.860074636564, -122.24944159288152 37.85881497485795)))"
R-1,"MULTIPOLYGON (((-122.28828352807665 37.859387171595316, -122.28814705072236 37.85940297544998, -122.2880088541832 37.85941880930869, -122.28787418711973 37.85943732497197, -122.28773610802031 37.859457953204256, -122.28760655790796 37.8594736563815, -122.28746667862956 37.8594915600592, -122.28732340104537 37.859512273966516, -122.2871852042191 37.85952809874317, -122.28705051771296 37.85954593602202, -122.28697445446633 37.859192752589294, -122.28695247938929 37.859071536940384, -122.28692525953252 37.85894834272692, -122.28689989153182 37.85882993342555, -122.28717963410534 37.85879342142743, -122.28732637409766 37.85877265158333, -122.2874559127265 37.858756956750035, -122.28759059247119 37.85873913112547, -122.2877252584443 37.85872060360554, -122.28786180027741 37.858707546416596, -122.28799988817129 37.858686918081716, -122.28813803142761 37.85866903571252, -122.28828352807665 37.859387171595316)))"
R-3,"MULTIPOLYGON (((-122.27968916989651 37.85885579043951, -122.27980486030545 37.85884031538949, -122.27997757261707 37.85881916603591, -122.28005037733514 37.85918201519969, -122.28012133131429 37.859540087392844, -122.2799521224598 37.8595632457259, -122.27975518606002 37.85958544332355, -122.27968244274469 37.859225332061804, -122.27975844404625 37.85921595350219, -122.27968916989651 37.85885579043951)))"
R-2A,"MULTIPOLYGON (((-122.27300850065251 37.85953248223949, -122.27287375969142 37.85954823448074, -122.27272868727574 37.859566895670326, -122.27260611303787 37.8595845316501, -122.27246104215075 37.85960250302913, -122.2723263710322 37.859621013032225, -122.27217609668253 37.859639061408515, -122.2718307464323 37.859685441882164, -122.27181958281957 37.859580550163614, -122.27180623800865 37.8594571422994, -122.27179144803044 37.859345438703414, -122.27178016303802 37.85923573602158, -122.27176888319165 37.85912603336861, -122.27175787388487 37.859027311492895, -122.27174707179161 37.85893820724755, -122.27203723690258 37.85890225403355, -122.27216498434254 37.85888385567703, -122.27224488208158 37.85925553014953, -122.27292709224284 37.85917044369951, -122.27300850065251 37.85953248223949)))"
R-2,"MULTIPOLYGON (((-122.25043329927625 37.85995322986865, -122.25028800615884 37.85996225374541, -122.25027360801919 37.85979284799948, -122.25026836665114 37.85971739268158, -122.25025750939122 37.859624161466094, -122.2502461412713 37.859509654242565, -122.25023413569028 37.859367685084585, -122.25021884054291 37.85923331990837, -122.25020699056388 37.85909821822858, -122.25019580189084 37.85899126000693, -122.25017677515609 37.8587718043687, -122.2503635107069 37.858757354162805, -122.2504673618583 37.85875375263422, -122.25068705093227 37.85874088254913, -122.25082017545945 37.858729975904666, -122.25100183268668 37.8587204201899, -122.25103557967519 37.85904953721465, -122.25104309946161 37.85914761817698, -122.2510613708313 37.85933480890841, -122.25107598728394 37.85944034497947, -122.25108198414824 37.85954738365524, -122.25109491195568 37.859654997724824, -122.2511049139969 37.85978533008462, -122.25112005525328 37.859912827666086, -122.25069796022994 37.8599376325962, -122.25056825174617 37.85994641936349, -122.25043329927625 37.85995322986865)))"
C-W,"MULTIPOLYGON (((-122.28828352807665 37.859387171595316, -122.28813803142761 37.85866903571252, -122.28857836197612 37.85861153697123, -122.2886028128177 37.85869151955645, -122.28863115453089 37.85878928609921, -122.28865353763089 37.85885555154794, -122.28868723671522 37.858960107444695, -122.28875648709923 37.8591740000429, -122.2887997922735 37.859317549842864, -122.28855802205491 37.859348681865626, -122.2884198914536 37.859367254287534, -122.28828352807665 37.859387171595316)))"
R-3,"MULTIPOLYGON (((-122.28084138785509 37.85944476703321, -122.28067391390499 37.85946789644402, -122.2805081691771 37.8594909996803, -122.28043548924514 37.8591329455531, -122.28035749479989 37.858770170349715, -122.28052496202574 37.85874705350672, -122.2806994135058 37.85872587316095, -122.28084138785509 37.85944476703321)))"
R-2,"MULTIPOLYGON (((-122.25387774871497 37.85932389716345, -122.25387580753802 37.85931499856853, -122.2537902845615 37.858481935298855, -122.25394913939827 37.85846035508696, -122.25429806316845 37.858418766629214, -122.254309437343 37.858533281658, -122.25431727837639 37.85864509341312, -122.25432797966351 37.85873145274847, -122.25434357714586 37.85887817742194, -122.25435887972809 37.859012542148484, -122.25437354817056 37.85919360964045, -122.25438513455899 37.85931704067697, -122.25441185242896 37.85956797694867, -122.25442386605721 37.859709945760606, -122.25443565940354 37.859842300888616, -122.25412066693912 37.85985384422315, -122.25393387844647 37.85986623563151, -122.25387774871497 37.85932389716345)))"
R-2,"MULTIPOLYGON (((-122.25145908844445 37.8598920032628, -122.2513206672775 37.859898861683014, -122.25130595027046 37.85971573725545, -122.25129243325547 37.859583403320826, -122.2512840907333 37.85945030734587, -122.25126343465672 37.85930915933204, -122.2512515879565 37.85917404966024, -122.25122843594444 37.85892718713709, -122.25120940624025 37.85870772352004, -122.25137373964506 37.858698418027785, -122.25155177732819 37.8586820490138, -122.25171958460075 37.858672692115256, -122.25205160990913 37.85864922571813, -122.25207450724112 37.85888510738924, -122.25208544134188 37.858981076622015, -122.2520929522029 37.85907916557918, -122.25210413851661 37.859186123615544, -122.25211192547319 37.85929587479354, -122.25212325073429 37.85940832528201, -122.25213442690307 37.85951528324557, -122.25214401782269 37.85962775515887, -122.25216635849806 37.859840308243676, -122.25189485685105 37.85986012801933, -122.25175649679161 37.85986904769508, -122.25161461182157 37.85987596556558, -122.25145908844445 37.8598920032628)))"
R-1,"MULTIPOLYGON (((-122.24733475585661 37.856032279586444, -122.24732139095767 37.855826377647844, -122.24736390937723 37.855822374598546, -122.24736255452484 37.85576495178666, -122.24740720079258 37.85576246703088, -122.24780841334595 37.855740115831956, -122.24779512261347 37.85561739922639, -122.24807888452767 37.855602302922875, -122.24806949037244 37.855565278209916, -122.24820138001441 37.85555656892165, -122.24819632574703 37.85552285713995, -122.24832829868159 37.85551752268133, -122.2483334526476 37.85560187197953, -122.25112199589891 37.85544516286563, -122.25114607912509 37.855804637210554, -122.25099039325588 37.85581381085716, -122.25083120825938 37.855820982795365, -122.25068076591572 37.855832140242455, -122.25054067891577 37.8558410840389, -122.25037628564354 37.85584833171812, -122.25017743744851 37.855862956309906, -122.25001829794827 37.85587218373758, -122.24987300773452 37.85588120310455, -122.24975017755807 37.855887834571575, -122.24962221555703 37.855896594957585, -122.24949938022195 37.85590322612985, -122.24937486646593 37.85591193116454, -122.2491845999253 37.8559236804837, -122.2490289238361 37.855932851596556, -122.24869506052809 37.85595154032517, -122.24850659754853 37.85596600122997, -122.24837505160517 37.85597001235805, -122.24825053238592 37.85597872833506, -122.2481156326799 37.85598758474227, -122.24797381588206 37.85599655093826, -122.24784925097597 37.856003209899214, -122.24758464409238 37.8560208574795, -122.24739609790552 37.85603189296329, -122.24733475585661 37.856032279586444)))"
R-1,"MULTIPOLYGON (((-122.25324963180509 37.85392894596927, -122.2533876451688 37.85390560789948, -122.25352065561513 37.853889895339904, -122.25366411911239 37.853877461094456, -122.25368747619608 37.854132566100866, -122.2536952193728 37.85424025664057, -122.2537099809884 37.85435197447571, -122.25372112327652 37.85445687587021, -122.25372723716019 37.85456940278067, -122.25373844056973 37.854676364913715, -122.25374616012505 37.85478336580178, -122.25375806169578 37.85492053198626, -122.2537734269071 37.85505764305671, -122.25378187015363 37.85519485626479, -122.25379730496458 37.85533471355695, -122.25380844246797 37.8554396067851, -122.25381628237186 37.85555143078724, -122.25382759959932 37.855663873028156, -122.25383889806952 37.855775641881216, -122.25384664155763 37.85588333644078, -122.25355660071415 37.855924035560875, -122.25344437333422 37.85593944188442, -122.25324963180509 37.85392894596927)))"
R-1,"MULTIPOLYGON (((-122.2543837996315 37.85581767257253, -122.25406085766203 37.85585886219404, -122.25403829544122 37.855637397271224, -122.25402699660548 37.85552563654285, -122.25401569276781 37.85541386766814, -122.25400620957217 37.85530620264673, -122.25399837963083 37.85519437871467, -122.25398712148763 37.85508468264464, -122.25397580413227 37.85497223635089, -122.25396461568656 37.85486527433891, -122.25395351877272 37.85476242956099, -122.25394750950593 37.85465471352946, -122.2539297656684 37.854490174114076, -122.2539178587201 37.85435300790193, -122.25390628397986 37.854229576797195, -122.25389465335702 37.85410408092239, -122.2538711770068 37.85384348361654, -122.25397993757656 37.853828131963276, -122.25411807930223 37.8538102894849, -122.25429426029649 37.85378912674066, -122.25445480190814 37.85376614504338, -122.25468270793074 37.853735287274276, -122.25470890126361 37.853963568631855, -122.25472128265542 37.854121325125504, -122.25472912399638 37.85423313288254, -122.25474006087536 37.85432911008426, -122.25474781907823 37.854437494198045, -122.25475910534605 37.854548565312506, -122.25477035936976 37.854658269408574, -122.25477983841407 37.8547659424698, -122.25479081610585 37.85486397621777, -122.25480218547443 37.85497849123758, -122.2548135312076 37.85509230850369, -122.25482486004134 37.855204758848544, -122.25483258108812 37.85531177183963, -122.25484378960324 37.85541941121551, -122.25485515920641 37.8555339181101, -122.254866408383 37.855643622149444, -122.25487587918278 37.855750613756484, -122.25453568416641 37.8557948103718, -122.2543837996315 37.85581767257253)))"
R-2A,"MULTIPOLYGON (((-122.27465328890224 37.85551392904512, -122.2745031349297 37.85553678327743, -122.27448886362986 37.855374945034384, -122.27447973819663 37.855283060897825, -122.27447203498892 37.855178113601674, -122.27446432668565 37.855073166271836, -122.27445331429432 37.854974444549924, -122.27444213233697 37.854869540704485, -122.27482203749899 37.85482057078841, -122.2749688944986 37.85480462724345, -122.27510701968602 37.85478607053506, -122.27524516874635 37.854768203301376, -122.27538501793939 37.854749616319246, -122.27565951120982 37.85471114847481, -122.27579083936271 37.85469819080218, -122.27592730531721 37.85468240116437, -122.27606196647768 37.85466389909276, -122.27620012033118 37.85464601859829, -122.27633311230505 37.85463028419549, -122.27645571877639 37.85461470078489, -122.27660603338741 37.8545987115471, -122.27673897018397 37.85458023055255, -122.27688225467745 37.85456021901546, -122.27702384253499 37.854541604257655, -122.27706319861178 37.85473809104237, -122.27708318843034 37.854849724619655, -122.27714604989008 37.855159849817966, -122.27666269564301 37.855228933269814, -122.27646590905128 37.85525729930918, -122.27620517574353 37.855291436813296, -122.27603255830745 37.8553166979192, -122.27588241536323 37.855339553982596, -122.27574952326002 37.85536010274643, -122.27564931464424 37.8553705303495, -122.27551301033974 37.8553931871627, -122.2752403191899 37.85543436692166, -122.27509870526902 37.855452289872446, -122.27491743580084 37.85547768264238, -122.27478623127331 37.85549613979142, -122.27465328890224 37.85551392904512)))"
R-1,"MULTIPOLYGON (((-122.24707322320522 37.85526689304414, -122.24703458386134 37.8552441077846, -122.24698560757936 37.85522423743313, -122.24694199986928 37.85521115027671, -122.24690023622786 37.85520284048441, -122.24683957557481 37.855201681888225, -122.2467824952526 37.85520458170223, -122.24669611691256 37.855214789207345, -122.2466479071743 37.855227171426094, -122.2466146395473 37.85521187499009, -122.24648311457447 37.855143094384594, -122.24650627271895 37.855096738574034, -122.24653939954221 37.8550323859908, -122.24666394089935 37.85487810459931, -122.24678340898953 37.854728694101375, -122.24694836579924 37.85452504392753, -122.2470106491727 37.85444858853702, -122.24704149514524 37.85443439980086, -122.24710697654231 37.854419690306806, -122.24715723565514 37.854421009385625, -122.24758442354671 37.854466877564946, -122.24785708023408 37.85449716842526, -122.24790415114609 37.854510212470515, -122.24788959967175 37.85455438067196, -122.24790225672972 37.85457684557863, -122.24792520293481 37.8545950486438, -122.24790841212146 37.85461795816748, -122.24792075327657 37.85462670833234, -122.24784147381479 37.854717149607445, -122.24773866538149 37.85483815522127, -122.24763945691355 37.854965283694014, -122.24760910221568 37.85500007522415, -122.2475333361572 37.85509253013933, -122.24732769321129 37.85533385105557, -122.2472921909947 37.85537077540314, -122.24727995622708 37.855366146564144, -122.2471959373044 37.85532893672994, -122.24707322320522 37.85526689304414)))"
R-2A,"MULTIPOLYGON (((-122.25759786679538 37.8545399726662, -122.25756908372146 37.85442160457256, -122.25845838991899 37.8543060407884, -122.25848197316112 37.854423800000696, -122.25850746067592 37.854549086633924, -122.25857642908292 37.85490101862742, -122.25859990558148 37.855014660475966, -122.25862354363805 37.855135161727596, -122.25845251768449 37.85515419759441, -122.2584272832932 37.85503988760592, -122.25815444513967 37.855075547419695, -122.25803640575953 37.85447988375287, -122.25759786679538 37.8545399726662)))"
C-SA,"MULTIPOLYGON (((-122.279877910971 37.854736880578855, -122.27971221448152 37.854761349862926, -122.27953966474531 37.854789362330976, -122.27948769733453 37.85457245515979, -122.27947603589658 37.85451976352167, -122.27946438834208 37.854467749289824, -122.27943925384993 37.85435825448003, -122.2793942139999 37.85414124769273, -122.2793388440849 37.853927146523944, -122.2793037212693 37.85376287339616, -122.27927066482226 37.85361229320355, -122.27920693983702 37.85333858100735, -122.27948051370953 37.85333445143768, -122.27953596206109 37.853334985393055, -122.27963771795115 37.853750279682565, -122.27982805887967 37.85453642069436, -122.279877910971 37.854736880578855)))"
C-1,"MULTIPOLYGON (((-122.26066074695846 37.85499698074526, -122.25999930624918 37.85508032601925, -122.26006144176803 37.85463304714285, -122.2600952508042 37.85437846479197, -122.26011721414481 37.85420921142059, -122.26015154828659 37.853977284097176, -122.26047262902263 37.853931288259716, -122.26061959595327 37.854650128101035, -122.26058682417442 37.854656107441, -122.26066074695846 37.85499698074526)))"
R-2A,"MULTIPOLYGON (((-122.25897707422692 37.85506947239886, -122.25881310998074 37.855093890691435, -122.25878577699815 37.854963822870836, -122.2587459910571 37.85482021132351, -122.25872174793508 37.85467430467484, -122.25888929553663 37.85465463814476, -122.25892048986462 37.854801131989845, -122.25897707422692 37.85506947239886)))"
R-1,"MULTIPOLYGON (((-122.279877910971 37.854736880578855, -122.27982805887967 37.85453642069436, -122.2801696931929 37.854480458640445, -122.28021778278925 37.85468025056819, -122.279877910971 37.854736880578855)))"
